MHCLG code,Area code,Area name ,a1a,a1b,a2a,a2aa,a2ab,a2b,a2ba,a2bb,a2c,a2ca,a2cb,a2d,a2da,a2db,a2e,a2ea,a2eb,a2f,a2fa,a2fb,a2g,a2ga,a2gb,a2h,a2ha,a2hb,a2ia,a2iaa,a2iab,a2ib,a3a,a3aa,a4a,a4ba,a4bb,a4c,a4d,a5a,b1a,b2aa,b2ab,b2ac,b2aaa,b2aab,b2aac,b2aba,b2abb,b2abc,b2aca,b2acb,b2acc,b2ada,b2adb,b2adc,b2ba,b2bb,b2bc,b2ca,b2cb,b2cc,b2da,b2db,b2dc,b2ea,b2eb,b2fa,b2fb,b2fc,b2faa,b2fab,b2fac,b2faaa,b2faab,b2faac,b2faba,b2fabb,b2fabc,cc1a,cc1aa,cc1ab,cc1ac,cc1ad,cc1ae,cc2a,cc3a,cc3aa,cc3ab,cc4a,cc4aa,cc4ab,cc5a,cc5aa,cc5ab,cc5ac,cc5ad,cc5ae,cc6a,cc6aa,cc7a,cc8a,d4a,d4aa,d4ab,d4ac,d4ad,d8a,d8aa,d8ab,d8ac,d9a,d9aa,d9ab,d10a,d10aa,d10ab,d11a,d12a,e1a,e2aa,e2ab,e2ac,e2ba,e2bb,e2bc,e2ca,e2cb,e2cc,e2da,e2db,e2dc,f1a,f1b,f2aa,f2ab,f2aaa,f2aab,f2ba,f2bb,f2baa,f2bab,f2ca,f2cb,f2caa,f2cab,f2cba,f2cbb,f2cca,f2ccb,f2cda,f2cdb,f2da,f2db,f2daa,f2dab,f5a,f5aa,f5ab,f6a,f7a,f8a,f9a,f10a,f11a,f12aa,f12ab,f12ac,f12ba,f12bb,f12bc,f12ca,f13a,f13b,f13c,f13d,f13e,f13da,f13db,f13dc,f14a,f14b,f14c,f14e,f15a,f15b,f16a,f16b,f16c,f16aa,f16ab,f16ac,f16ba,f16bb,f16bc,f16ca,f16cb,f16cc,f16da,f16db,f16dc,f17a,f24a,f25aa,f25ab,f25ba,f25bb,f25ca,f25cb,f25da,f25db,f25ea,f25eb,f25fa,f25fb,g1a,g2a,g2aa,g2ab,g2ac,g2ad,g3a,h1a,h1b,h2a,h2b,h3a,h3b,h4aa,h4ab,h4ba,h4bb,h4ca,h4cb,h4da,h4db,h4ea,h4eb,h4fa,h4fb,h4ga,h4gb,h4ha,h4hb,h5a,h6a,h8a,h9a,h10a,h11a,h12a,h13a,h14a,i1a,i2a,i3aa,i3ab,i3ba,i3bb,i3ca,i3cb,i3da,i3db,i3ea,i3eb,i3fa,i3fb,i4aa,i4ab,i4ba,i4bb,i4ca,i4cb,i4da,i4db,i4ea,i4eb,i4fa,i4fb,i5aa,i5ab,i5ba,i5bb,i5ca,i5cb,i5da,i5db,i5ea,i5eb,i5fa,i5fb,i6a,i7a,i7b,i7c,i7d,i7e,i7f,i8a,i8b,i8c,i8d,i8e,i8f,i9a,i9b,i9c,i9d,i9e,i9f,i10a,i10b,i10c,i10d,i10e,i10f,i10g,i10h,i11a,i12a,i13a,i14a,i15a,i16a,i17aa,i17ab,i17ba,i17bb,i17ca,i17cb,i17da,i17db,i17e,i17dc,i17dd,i17de,j1aa,j1ab,j1ba,j1bb,j1ca,j1cb,j1da,j1db,j1ea,j1eb,j1fa,j1fb,j1ga,j1gb,j1ha,j1hb,j2aa,j2ab,j2ba,j2bb,j2ca,j2cb,j2da,j2db,j2ea,j2eb,j2fa,j2fb,j2ga,j2gb,j2ha,j2hb,j3aa,j3ab,j3ba,j3bb,j3ca,j3cb,j3da,j3db,j3ea,j3eb,j3fa,j3fb,j3ga,j3gb,j3ha,j3hb
K5030,E09000001,City of London,438,0,400,400,0,547,547,0,592,592,0,378,378,0,27,27,0,0,0,0,0,0,0,0,0,0,1944,1944,0,1944,148,148,0,0,0,0,0,0,26,7,2510,723,6,1685,620,0,0,0,1,825,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2510,723,7,2510,724,7,2510,724,0,0,0,656,372,191,78,15,0,N,Y,2,N,N,N,0,264,11,0,245,8,0,264,4,Y,Y,30,26,0,0,0,58,58,0,0,12,2,10,100,86,14,0,7,21,12,0,12,0,2,2,0,7,7,12,9,21,C,C,0,0,0,0,19,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,8,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,840,1423,0,0,0,0,0,0,0,0,840,1423,135.2,0,-,-,-,-,6,52,0,104.62,0,104.62,0,82.73,0,100.42,0,111.73,0,121.5,0,136.78,0,0,0,0,0,104.62,0,215145,108093,36355,10207297,33226,328521,9845550,3.2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,107,0,55982,1092,1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5240,E09000008,Croydon,13571,2,458,458,0,3910,3897,13,4618,4574,44,4205,4182,23,339,327,12,32,30,2,9,7,2,0,0,0,13571,13475,96,13565,925.311,925.311,0,0,0,0,0,0,313,88,14287,9062,15,1328,1503,41,6094,4237,32,6865,3322,7,1183,726,0,0,0,0,0,0,0,0,0,0,0,88,14287,9062,53,6310,5428,53,6310,5428,0,0,0,5138,817,2954,877,490,0,Y,Y,3,N,N,N,..,3722,2005,2005,1556,161,0,495,36,Y,Y,243,-,0,0,0,470,0,0,0,123,68,55,836,682,154,236,0,126,18,42,60,16,11,27,17,22,39,51,75,126,D,C,406,566,0,0,1106,750,0,0,555,750,15,0,0,0,540,750,0,0,0,0,0,0,2,12,2,0,0,3000,1500,367,32,174,1022,465,67,609,0,241,58,1965,21,4,46,0,0,0,348,11790,126,12264,2378,0,46,12264,266608.6957,2,12,6000,0,0,0,43,258,6000,1,4,4000,0,28073,7973,28073,0,0,0,0,0,0,0,0,5976,28073,31.92,39,27,5,0,7,7,50,50,108.23,160.45,104.0673077,154.2788462,71.61,0,85.85,103.53,102.15,134.33,123.4,179.7,140,214.69,153.18,208.84,174.07,213.43,104.06,154.27,3162242.55,3034734.57,77345,74676959,265523.14,668766.06,73742670,8.3,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,125,391,0,13,0,0,638,0,3135,0,0,0,0,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5270,E09000009,Ealing,11947,51,621,621,0,3958,3958,0,3932,3932,0,2930,2930,0,342,342,0,37,37,0,14,14,0,113,113,0,11947,11947,0,11834,841.113,0,452,-,-,50,3,0,205,56,9044,5786,17,1948,1732,23,3233,2392,16,3863,1662,56,9043,5786,0,0,0,0,0,0,32,8698,0,0,0,88,17742,5786,72,12128,4643,45,5881,4643,0,0,0,13685,5305,4184,3045,1151,0,N,Y,5,N,N,N,..,7234,2011,2026,3884,519,4,11,0,Y,Y,208,0,0,0,0,526,0,0,0,42,8,34,776,682,94,311,0,655,37,42,79,37,96,133,20,423,443,94,561,655,C,C,27,100,0,0,907,1000,0,0,20,70,0,0,0,0,20,30,0,30,0,0,0,0,0,0,0,241,241,20249,5000,538,38,1043,2503,39,108,328,0,1151,489,476,145,461,4449,8,452,56,2072,1942,5578,51403,299,83,4449,51403,11553.83232,0,0,0,4306,36064,8375.290293,2242,15339,6841.659233,0,0,0,38,18668,3721,18668,452,0,-,0,50,0,3,0,2917,18668,23.76,31,21,2,0,8,4,52,0,95.81,0,95.81,0,72.69,0,84.07,0,96.6,0,110.48,0,131.78,0,145.41,0,159.81,0,95.81,0,1021022.11,1405584.15,285788,57927744.13,41431.62,3184740.42,54701572,4.2,99.47755066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112,164,779,88,466,0,0,1609,0,3984,195,29,0,0,18,0,19,1,10,0,47,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5300,E09000010,Enfield,10189,38,293,293,0,3086,3085,1,3564,3548,16,3118,3091,27,139,128,11,15,15,0,3,3,0,3,3,0,10221,10166,55,10221,622,620,132,0,0,15,43,0,271,139,17548,13793,34,2721,3213,69,7676,6869,36,7151,3711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,17548,13793,112,10935,11040,112,10935,11040,0,0,0,3444,553,1225,1352,272,42,N,N,..,N,N,N,..,3181,0,2474,161,52,0,15,1,Y,Y,107,0,0,0,0,344,0,0,0,54,28,26,505,423,82,155,0,354,9,20,29,1,34,35,0,282,282,10,336,346,C,C,196,488,0,0,25,365,0,0,253,223,0,0,2,0,251,87,0,0,0,0,0,0,0,0,0,104,48,14200,960,144,6,68,120,245,0,0,0,68,40,2,1382,45,3647,0,0,45,403,11,7601,36692,429,242,3647,36692,10060.87195,0,0,0,3639,36306,9976.916735,45,380,8444.444444,8,6,750,36,68194,2728,20331,132,500,0,0,15,7900,43,5700,1750,34431,20.48,35,17,6,0,12,3,52,52,99.89,191.85,99.89,191.85,81.58,0,86.82,104.98,98.14,174.64,115.45,195.53,124.21,222.39,136.64,0,158.15,0,99.89,191.85,2448329,1466782,5293,54378300.27,198947.08,630892.27,53548461,7.2,98.5,296,0,25,0,30,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,12,14,0,0,0,0,0,0,246,705,459,705,0,0,0,2115,0,1394,752,0,0,0,4,0,21,6,0,12,25,18,25,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5330,E09000011,Greenwich,21082,408,1089,1089,0,5679,5679,0,7081,7081,0,6185,6185,0,798,798,0,103,103,0,17,17,0,7,7,0,20959,20959,0,20959,1335.427,1335.427,0,0,0,0,18,3,546,203,27895,20220,62,5381,5759,80,10639,8141,61,11875,6320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,27895,20220,158,17970,15570,158,17970,15570,0,0,0,13618,8308,3070,1617,623,0,N,Y,5,N,Y,Y,23,1377,175,524,497,226,34,5,0,Y,Y,387,3,0,0,0,517,24,0,0,98,66,32,1002,919,83,482,0,445,41,69,110,53,55,108,44,53,97,138,177,315,D,D,191,119,0,0,653,684,0,0,415,22,88,0,0,0,324,22,3,0,88,0,0,4,77,78,77,218,158,6500,900,119,3,19,28,48,30,285,0,49,73,291,274,0,818,0,0,0,558,2030,1803,2412,69,0,818,2412,2948.655257,77,78,1012.987013,1,0.495,495,674,2232,3311.5727,66,102,1545.454545,4,27770,1797,27770,0,0,0,0,0,0,18,4511,1611,32281,41.33,108,73,3,0,33,5,52,0,90.71,0,90.71,0,68.13,0,76.16,0,87.78,0,100.47,0,119.11,0,129.12,0,138.17,0,90.83,0,5292077.33,3197918,798939,51101651.42,0,1625498,49476153,16.6,98.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,175,5886,0,0,0,0,0,16,0,59,0,75,75,34,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U5360,E09000012,Hackney,21780,0,972,972,0,6125,6125.45,0,8141,8140.55,0,5671,5670.65,0,834,834.35,0,124,124,0,43,43,0,56,56.33,0,21966,21966,0,21930.33,1272.845,1272.845,0,0,0,79,56,1,326,55,13003,5728,22,3842,2292,22,5620,2290,11,3541,1146,0,0,0,0,0,0,0,0,0,29,8028,0,0,0,84,21031,5728,80,19427,5312,51,11399,5312,0,0,0,12766,5215,4317,2650,542,42,N,Y,3,N,Y,Y,18,8437,4386,3309,4181,717,35,938,0,Y,Y,129,6,0,0,0,654,2,0,0,59,29,30,842,842,0,378,2,616,59,1,60,65,44,109,9,438,447,133,483,616,C,C,195,160,0,0,2628,1000,0,0,450,450,0,0,250,250,200,200,0,0,0,50,0,2,114,570,114,30,24,4315,651,175,25,23,152,4,4,23,0,27,84,300,0,19,1727,19,0,0,1579,2609,0,51000,287,311,1727,51000,29530.97858,114,570,5000,1724,-,-,-,-,-,-,-,-,8,87510,4082,76730,0,0,0,0,79,1819,56,15970,3453,94519,26.47,41,33,3,0,5,58,52,52,100.55,0,100.55,0,78.61,0,89.59,0,98.93,0,112.63,0,132.86,0,151.67,0,157.78,0,100.55,0,3715206.86,1218771.11,1079758,111814170.8,6042.36,1853188.79,109954940,4.4,99,0,0,79,0,0,0,0,0,0,0,0,0,79,0,29,0,9,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,79,0,0,0,0,0,0,38,0,0,0,0,38,121,0,141,0,0,0,0,262,0,7542,4591,10089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,47,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
H5390,E09000013,Hammersmith and Fulham,12227,43,556,556,0,4247,4247,0,4085,4085,0,2401,2401,0,790,790,0,69,69,0,14,14,0,22,22,0,12184,12184,0,12169,1079.73,1079.73,0,1,-2,7,13,0,146,30,7574,3107,16,3084,1657,8,2180,830,6,2310,620,0,0,0,4,1069,0,2,0,0,1,96,0,0,0,37,8739,3107,32,7660,3004,29,7076,3004,2,488,0,1644,286,870,412,76,0,N,Y,5,N,Y,Y,,1593,0,1030,497,71,14,47,0,N,Y,127,0,0,0,0,293,0,0,0,44,33,11,464,376,88,174,0,125,36,5,41,29,17,46,0,38,38,65,60,125,D,D,70,344,0,0,613,600,0,0,383,750,0,0,355,650,28,100,0,0,0,0,0,0,0,0,0,21,-,6633,717,337,4,3,6.5,0,24,68,0,27,20,0,0,0,1074,0,0,0,124,5644,0,8013,451,116,1074,8013,7460.893855,0,0,0,585,4603,7868.376068,92,736,8000,499,2674,5358.717435,9,36401,5611,23766,0,0,-1,0,7,1314,13,11136,4661,36216,33.6,32,21,11,0,0,26,52,0,107.94,0,107.94,0,84,0,99.93,0,103.09,0,119.8,0,145.47,0,158.09,0,162.79,0,107.38,0,4367102.91,1060940.8,498854,67682026.73,0,679101.27,67002925,8,99.3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,30,0,0,0,1,72,0,0,4754,0,0,0,7,0,1,6,0,7,8,13,16,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y5420,E09000014,Haringey,15097,80,135,135,0,5419,5418,1,5188,5184,4,3730,3725,5,600,598,2,106,106,0,17,17,0,155,155,0,15350,15338,12,15350,14.115,14.115,0,0,0,0,3,0,330,89,13800,8938,35,3984,3421,33,5253,3346,21,4563,2171,0,0,0,0,0,0,0,0,0,5,996,0,0,0,94,14796,8938,52,6238,5144,52,6238,5144,0,0,0,9650,3818,3220,2076,536,0,N,Y,3,N,N,..,..,9147,9,2875,7572,340,14,0,2,Y,Y,129,0,0,0,0,544,0,0,0,62,60,2,735,583,152,174,0,95,28,4,32,16,10,26,6,31,37,50,45,95,D,D,369,239,0,0,1213,1128,0,0,186,121,7,1,1,0,178,120,0,0,0,0,0,0,0,0,0,379,379,15000,2000,823,791,0,0,0,0,0,0,0,812,0,364,9,2763,0,0,9,6385,0,4075,30929,307,0,2763,30929,11193.99204,0,0,0,2659,28126,10577.66077,313,2628,8396.166134,30,174,5800,18,29329,17839,28858,0,0,0,0,0,0,3,0,7762,28858,29.5,55,55,0,0,0,54,52,52,105.46,236.79,105.46,236.79,93.57,0,92.69,209.41,104.75,232.77,119.13,223.37,135.7,294.06,161.85,0,164.52,0,105.46,236.79,6965928.09,4778894.07,679251,84584430.72,0,636698.76,83947732,13.88532388,99.19086438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,65,0,402,0,0,0,480,0,1408,576,1572,0,0,0,1,0,2,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5450,E09000015,Harrow,4813,171,159,159,0,1796,1796,0,1414,1414,0,1339,1337,2,90,86,4,12,12,0,3,3,0,0,0,0,4813,4807,6,4813,406.713,405.971,0,0,-3,6,1,0,70,27,5849,2808,6,835,623,13,2738,1354,8,2276,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5849,2808,15,2504,1560,15,2504,1560,0,0,0,1883,361,677,618,227,0,N,Y,5,N,Y,Y,7,1362,105,984,33,212,6,17,0,Y,Y,66,1,2,4,0,106,5,2,0,18,8,10,190,162,28,97,0,69,19,7,26,9,2,11,19,13,32,47,22,69,C,C,219,162,219,162,147,60,85,35,68,0,46,0,0,0,22,0,0,0,0,0,0,0,0,0,0,93,7,1000,400,415,22,259,115.8,15.1,23,0,1.1,282,481,481,59,65,112,59,0,6,2261,2261,177,325,59,59,112,325,2901.785714,0,0,0,0,0,0,27,108,4000,85,217,2552.941176,2,7621,0,2262,0,0,-3,-,6,2172,1,-,-,4434,28.6,16,8,0,8,0,3,52,52,112.95,218.85,112.95,218.85,89.17,0,97.18,0,114.06,0,133.02,206.32,147.68,225.12,153.23,0,171.88,0,112.95,218.85,576742.82,518673.87,37156,28080928.56,398971,158105.91,27523852,3.9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,199,138,0,0,0,0,340,0,2438,450,0,12,554,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5480,E09000016,Havering,9629,0,391,380,11,2791,2775,16,3406,3348,58,2749,2723,26,156,156,0,15,15,0,0,0,0,52,52,0,9560,9449,111,9508,-,-,-,-,-,-,-,0,299,113,14067,11049,26,1941,2299,49,5868,4893,38,6258,3857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,14067,11049,65,5899,6270,65,5899,6270,0,0,0,2234,589,921,623,101,0,N,Y,6,N,N,..,..,1703,6,720,699,260,18,322,12,Y,Y,270,1,109,0,0,40,5,0,0,40,21,19,350,300,50,67,2,280,10,72,82,4,16,20,14,164,178,28,252,280,C,C,4,117,4,117,290,300,290,300,125,40,122,15,0,0,3,25,0,0,60,23,1,1,0,0,0,0,0,29,-,-,-,-,-,-,-,-,-,0,53,150,10,20,17,20,0,0,428,1500,0,95,60,1701,17,95,5588.235294,0,0,0,8,23,2875,12,86,7166.666667,0,0,0,0,8512,1387,8512,-,0,-,0,0,15288,0,9716,1387,33516,14,23,20,3,0,0,31,48,48,105.3,194.04,97.2,179.1138462,-,84.3,91.25,152.11,103.09,187.23,123.02,229.82,142.65,-,160.63,-,-,-,-,-,1359363.5,1427720.2,15836,59935476,168296.24,682466,60786238.24,4.7,99.7,0,0,0,0,4,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,4,5,18,7,17,12,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R5510,E09000017,Hillingdon,9925,792,240,240,0,3277,3277,0,3452,3452,0,2682,2682,0,179,179,0,42,42,0,10,10,0,43,43,0,9925,9925,0,9925,741.789,741.789,0,2,0,0,30,0,166,64,11650,6659,19,2127,1976,31,5856,3226,14,3667,1457,0,0,0,0,0,0,0,0,0,3,845,0,0,0,67,12495,6659,43,6146,4474,43,6146,4474,0,0,0,1687,387,421,651,228,0,N,Y,10,N,N,..,..,1549,130,0,1090,84,0,0,0,Y,Y,70,2,0,0,0,220,0,0,0,50,50,0,340,293,47,90,0,123,22,23,45,45,6,51,16,11,27,83,40,123,D,D,335,307,0,0,207,0,207,0,114,94,0,0,2,0,112,94,0,0,0,0,0,0,0,0,0,0,0,1580,490,-,0,5,27,0,0,0,0,5,1981,0,4,0,641,44,0,64,4430,0,52,2489,44,1983,641,2489,3882.99532,0,0,0,94,931,9904.255319,0,0,0,547,1558,2848.263254,6,47417,5317,11796,0,65,2,225,0,19539,30,15446,2217,47071,71.3,11,4,7,0,0,3,52,-,108.05,0,108.05,0,80.82,0,92.7,0,107.42,0,127.22,0,140.91,0,149.14,0,162.39,0,108.05,0,1507074.83,432990.56,614372,55084449,293969.78,672777.44,54117702,1.8,98.2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,55,24,0,0,0,0,83,0,1207,375,0,0,0,0,36,0,8,2,31,2,75,45,17,17,72,160,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5540,E09000018,Hounslow,13129,5606,413,413,0,3807,3807,0,4674,4674,0,3895,3895,0,245,245,0,28,28,0,4,4,0,63,63,0,13129,13129,0,13066,949,949,0,2,0,97,0,0,268,74,14248,5566,13,1633,975,39,6846,3000,22,5769,1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,14248,5566,47,7480,3600,47,7480,3600,0,0,0,2157,634,680,612,231,0,N,N,..,Y,N,..,..,2094,821,0,671,209,0,219,2,N,Y,186,10,0,0,0,579,0,0,0,136,129,7,901,769,132,149,0,190,38,51,89,19,45,64,1,36,37,58,132,190,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,1850,850,800,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,-,0,-,2,-,97,-,0,-,-,0,20.3,29,20,6,3,0,10,52,0,106.5,0,106.5,0,83.11,0,89.15,0,102.92,0,120.78,0,139.1,0,152.54,0,176.98,0,-,-,1999296.25,1527782,6955,72533409,0,1200712,71332697,3.2,99.8,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0,-,-,-,-,0,0,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V5570,E09000019,Islington,25009,0,764,759.54,4,8990,8919.09,71,8725,8574.3,151,5302,5256,46,1209,1197,12,251,245,6,53,53,0,0,0,0,25294,25004,290,20511.5,2427.081,2384.084,0,0,0,135,0,0,353,81,23531,8419,46,11075,4783,25,8479,2598,10,3977,1038,0,0,0,0,0,0,0,0,0,4,955,7,0,0,85,24486,8426,82,22413.24,8114.9,78,21458.24,8107.4,0,0,0,14469,6719,2698,1378,693,2981,N,Y,5,N,N,N,..,7428,225,743,2656,577,0,0,0,Y,Y,349,10,0,0,0,723,0,0,0,177,119,58,1249,1249,0,-,-,169,30,1,31,75,2,77,37,24,61,142,27,169,C,C,171,195,171,195,673,700,673,700,13,45,0,0,0,39,13,6,0,0,127,0,1,0,78,-,78,1200,420,394,223,-,-,-,-,-,-,-,-,0,-,-,-,-,2168,-,-,-,-,-,-,-,-,-,2168,-,-,-,-,-,2168,8672,4000,-,-,-,-,-,-,11,-,0,-,0,-,0,-,135,-,0,-,-,0,27.4,35,29,6,0,0,96,52,52,115.87,175.19,115.87,175.19,100.89,458.38,101.48,158.75,117.82,162.32,127.79,206.32,151.22,203.27,169.84,212.36,197.19,0,115.87,175.19,2420455.68,2235661.23,280371,152068431.7,389437,1798085.26,149880909,3.1,99.8,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
